Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1981-82,23,SDC,NBA,PF,72,3,858,86,169,.509,0,0,0,86,169,.509,.509,39,85,.459,72,110,182,46,22,51,47,185,211
1982-83,24,DET,NBA,PF,4,0,18,3,4,.750,0,0,0,3,4,.750,.750,2,4,.500,0,5,5,0,0,0,0,4,8
