Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003-04,23,UTA,NBA,C,16,0,258,22,56,.393,0,1,.000,22,55,.400,.393,14,18,.778,13,41,54,15,4,14,18,40,58
2004-05,24,UTA,NBA,C,67,23,859,74,172,.430,0,0,0,74,172,.430,.430,52,71,.732,86,138,224,49,10,32,52,160,200
