Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,23,ATL,NBA,SG,61,1,1236,204,492,.415,82,216,.380,122,276,.442,.498,99,110,.900,12,104,116,75,27,3,82,118,589
2006-07,24,ATL,NBA,SG,61,0,1034,177,425,.416,56,155,.361,121,270,.448,.482,61,68,.897,6,68,74,61,21,2,55,88,471
2007-08,25,ATL,NBA,PG,35,0,402,65,180,.361,29,85,.341,36,95,.379,.442,41,50,.820,4,20,24,28,7,5,21,34,200
