Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1993-94,23,DEN,NBA,PG,6,0,79,6,23,.261,3,10,.300,3,13,.231,.326,0,0,0,3,3,6,19,0,1,6,6,15
1994-95,24,Did Not Play(other pro leagueAustralia)
1995-96,25,Did Not Play(other pro leagueIsrael)
1996-97,26,Did Not Play(other pro leagueVenezuela)
1997-98,27,Did Not Play(other pro leagueHong Kong)
1998-99,28,MIL,NBA,PG,4,0,18,2,4,.500,0,2,.000,2,2,1.000,.500,2,4,.500,0,0,0,3,3,0,2,0,6
